id,on_street,cross_street,routes,routes_total,boardings,alightings,month_beginning,daytype,location
1423,STATE,LAKE,"2\,6\,10\,29\,36\,62\,144\,146",8,1910.8,1318.2,10/1/12,Weekday,"(41.88589300, -87.62805300)"
2785,79TH STREET,COTTAGE GROVE,79,1,707.4,1299,10/1/12,Weekday,"(41.75121282, -87.60546638)"
15241,MICHIGAN,MONROE,"3\,4\,6\,J14\,26\,143",6,388,1293.7,10/1/12,Weekday,"(41.88066452, -87.62418655)"
1124,MICHIGAN,ONTARIO,"3\,10\,26\,33\,125\,143\,144\,145\,146\,147\,148\,151",12,1321.7,1289.7,10/1/12,Weekday,"(41.89319400, -87.62408900)"
1108,ADAMS,S. WACKER,"1\,7\,X28\,126\,129\,130\,134\,135\,136\,151\,156",11,117.3,1283.9,10/1/12,Weekday,"(41.87940000, -87.63654200)"
10589,GARFIELD,RED LINE STATION,"55\,59",2,1926.8,1253.3,10/1/12,Weekday,"(41.79458546, -87.63109954)"
5917,ARCHER/HALSTED,ORANGE LINE STATION,8,1,1266.5,1252.4,10/1/12,Weekday,"(41.84673835, -87.64795530)"
450,MADISON,WABASH,"J14\,19\,20\,56\,60\,N66\,124\,157",8,1780,1241.8,10/1/12,Weekday,"(41.88214000, -87.62597300)"
14059,LASALLE,RANDOLPH-WASHINGTON,"134\,135\,136\,156",4,80.6,1240.5,10/1/12,Weekday,"(41.88401837, -87.63257161)"
913,NORTH AVENUE,CLYBOURN/HASLTED,"33\,72",2,288.2,1230,10/1/12,Weekday,"(41.91083785, -87.64897589)"
14058,LASALLE,WACKER-LAKE,"134\,135\,136\,156",4,73.8,1226.8,10/1/12,Weekday,"(41.88638377, -87.63262579)"
449,WASHINGTON,WABASH (nearside GARLAND),"N4\,19\,20\,56\,60\,N66\,147\,151\,157",9,904.5,1197.1,10/1/12,Weekday,"(41.88315900, -87.62596600)"
443,WASHINGTON,CANAL,"19\,20\,56",3,980.2,1192.9,10/1/12,Weekday,"(41.88308400, -87.63997600)"
1100,MICHIGAN,ERIE,"3\,10\,26\,33\,125\,143\,144\,145\,146\,147\,148\,151",12,1283.5,1190.9,10/1/12,Weekday,"(41.89428300, -87.62436400)"
1184,SHERIDAN,FOSTER,"136\,147\,151",3,630.5,1178.3,10/1/12,Weekday,"(41.97662000, -87.65489600)"
14222,WACKER (upper),COLUMBUS,"6\,122\,123\,134\,135\,136",6,279.1,1174.9,10/1/12,Weekday,"(41.88809011, -87.62084415)"
80,ADAMS,WELLS,"1\,7\,X28\,126\,129\,130\,134\,135\,136\,151\,156",11,343.9,1172.2,10/1/12,Weekday,"(41.87942600, -87.63402400)"
1110,MICHIGAN,JACKSON,"3\,4\,J14\,26\,143\,145\,147\,148",8,1777.7,1146.5,10/1/12,Weekday,"(41.87842900, -87.62444600)"
6524,GARFIELD,RED LINE STATION,"24\,55",2,844.7,1141.2,10/1/12,Weekday,"(41.79411546, -87.63104442)"
4729,MADISON,STATE,"J14\,19\,20\,56\,60\,124\,157",7,2550.2,1136.4,10/1/12,Weekday,"(41.88206000, -87.62839000)"
2641,79TH STREET,RED LINE STATION,79,1,1917.9,1131.9,10/1/12,Weekday,"(41.75111000, -87.62520000)"
577,CHICAGO,STATE,66,1,230,1125.2,10/1/12,Weekday,"(41.89660686, -87.62838543)"
14784,47TH STREET,RED LINE STATION,"15\,51",2,720.6,1082.9,10/1/12,Weekday,"(41.80921867, -87.63218185)"
5670,IRVING PARK,SHERIDAN,80,1,105,1068.6,10/1/12,Weekday,"(41.95441855, -87.65468804)"
1102,MICHIGAN,ILLINOIS,"2\,3\,10\,26\,143\,144\,145\,146\,147\,148\,151\,157",12,835.4,1058.8,10/1/12,Weekday,"(41.89103227, -87.62429340)"
1148,SHERIDAN,DIVERSEY,"77\,134\,143\,151\,156",5,371.5,1057.6,10/1/12,Weekday,"(41.93310869, -87.63917427)"
1425,STATE,WASHINGTON,"2\,6\,10\,29\,36\,62\,144\,146",8,2163,1046.7,10/1/12,Weekday,"(41.88337100, -87.62797200)"
447,WASHINGTON,DEARBORN,"19\,20\,56\,60\,157",5,267.4,1045.2,10/1/12,Weekday,"(41.88314500, -87.62961100)"
1117,STATE,MADISON,"2\,10\,29\,144\,145\,146\,147\,148\,151",9,1861.4,1038.1,10/1/12,Weekday,"(41.88192500, -87.62767500)"
1101,MICHIGAN,OHIO,"2\,3\,10\,26\,143\,144\,145\,146\,147\,148\,151\,157",12,1388,1031.9,10/1/12,Weekday,"(41.89269100, -87.62432800)"
1203,SHERIDAN,ARTHUR,"147\,151\,155",3,160.3,1022.1,10/1/12,Weekday,"(42.00038209, -87.66060059)"
2661,79TH STREET,ASHLAND,"79\,169",2,447.9,1009.6,10/1/12,Weekday,"(41.75042496, -87.66323611)"
6179,ASHLAND,GREEN LINE (63RD),9,1,597.5,1008,10/1/12,Weekday,"(41.77886517, -87.66404863)"
15393,ILLINOIS,COLUMBUS,"2\,29\,65\,66\,120\,121",6,59.2,1007.8,10/1/12,Weekday,"(41.89096912, -87.61929662)"
9408,87TH STREET,RED LINE STATION,87,1,1269.2,1004.4,10/1/12,Weekday,"(41.73616130, -87.62482928)"
11139,KIMBALL,BELMONT,82,1,604.8,1002.4,10/1/12,Weekday,"(41.93909280, -87.71256509)"
3453,63RD STREET,STONY ISLAND,63,1,10.6,1000.2,10/1/12,Weekday,"(41.78053288, -87.58665852)"
1123,MICHIGAN,GRAND,"2\,3\,10\,26\,143\,144\,145\,146\,147\,148\,151\,157",12,951.2,986.5,10/1/12,Weekday,"(41.89176900, -87.62403400)"
8175,47TH STREET,RED LINE STATION,"43\,47",2,901.1,986,10/1/12,Weekday,"(41.80902445, -87.63167443)"
561,CHICAGO,MILWAUKEE,66,1,1214,979.1,10/1/12,Weekday,"(41.89619683, -87.65554311)"
15211,95TH STREET,ASHLAND,N9,1,46.5,975.3,10/1/12,Weekday,"(41.72111820, -87.66231510)"
1122,MICHIGAN,HUBBARD (TRIBUNE BLDG.),"2\,3\,10\,26\,N66\,143\,144\,145\,146\,147\,148\,151\,157",13,1065.6,974.1,10/1/12,Weekday,"(41.89020500, -87.62396900)"
2014,DIVISION,ASHLAND,70,1,480.7,972.5,10/1/12,Weekday,"(41.90323700, -87.66769294)"
14006,95TH STREET,RED LINE STATION,103,1,689.9,967.8,10/1/12,Weekday,"(41.72267001, -87.62492486)"
15886,87TH STREET,RED LINE,87,1,1115.5,959,10/1/12,Weekday,"(41.73641120, -87.62476573)"
5221,JEFFERY,79TH STREET,"J14\,15",2,436.7,958.6,10/1/12,Weekday,"(41.75146999, -87.57607016)"
17380,BELMONT,SHEFFIELD,77,1,2490,938.2,10/1/12,Weekday,"(41.93996729, -87.65337169)"
7638,35TH STREET,RED LINE STATION,"35\,39",2,1248.2,934.1,10/1/12,Weekday,"(41.83102965, -87.63054819)"
3746,LAWRENCE,KIMBALL,81,1,546.8,933.7,10/1/12,Weekday,"(41.96833126, -87.71304920)"
1120,MICHIGAN,SOUTH WATER,"3\,6\,20\,26\,N66\,143\,144\,145\,146\,147\,148\,151\,157",13,1987.7,922.8,10/1/12,Weekday,"(41.88669974, -87.62438400)"
73,MICHIGAN,betw. VAN BUREN & CONGRES,"1\,3\,4\,7\,J14\,26\,X28\,126\,129\,132\,143\,147\,148",13,965.5,921.5,10/1/12,Weekday,"(41.87627100, -87.62439600)"
14045,ELLIS,58TH STREET,"171\,172",2,179.9,920.8,10/1/12,Weekday,"(41.78945706, -87.60136882)"
14139,69TH BUS BRIDGE,RED LINE STATION,"N5\,67",2,1929.3,917.5,10/1/12,Weekday,"(41.76882093, -87.62562122)"
898,NORTH AVENUE,MILWAUKEE/DAMEN,72,1,508,910,10/1/12,Weekday,"(41.91041332, -87.67767087)"
17564,JEFFERY,71ST STREET,"N5\,J14\,15",3,576.6,908.6,10/1/12,Weekday,"(41.76633650, -87.57638270)"
14129,WESTERN,ORANGE LINE STATION,49,1,568.5,899.9,10/1/12,Weekday,"(41.80514719, -87.68414230)"
17673,PAULINA,HOWARD TERMINAL,22,1,0,891.1,10/1/12,Weekday,"(42.01850551, -87.67281382)"
1103,MICHIGAN,HUBBARD (WRIGLEY BLDG.),"2\,3\,10\,26\,N66\,143\,144\,145\,146\,147\,148\,151\,157",13,818.7,880.9,10/1/12,Weekday,"(41.88989400, -87.62424400)"
1427,STATE,MONROE,"2\,6\,10\,29\,36\,62\,144\,146",8,1536.9,880.4,10/1/12,Weekday,"(41.88085600, -87.62783400)"
1654,S HYDE PARK,55TH STREET,"6\,X28\,55",3,140.6,879.3,10/1/12,Weekday,"(41.79498672, -87.58402031)"
11028,DIVERSEY,SHEFFIELD,76,1,384.7,878.9,10/1/12,Weekday,"(41.93257845, -87.65362119)"
1484,WESTERN,LELAND,"11\,49\,49B",3,1022.6,871.6,10/1/12,Weekday,"(41.96645918, -87.68870499)"
2034,DIVISION,LASALLE,70,1,9.5,866.4,10/1/12,Weekday,"(41.90380272, -87.63314459)"
4970,LASALLE,ADAMS,"134\,135\,136\,156",4,10.4,866,10/1/12,Weekday,"(41.87950311, -87.63242920)"
7213,OLIVE-HARVEY,BUILDING ENTRANCE,"28\,X28\,106",3,1010.8,864.5,10/1/12,Weekday,"(41.70941598, -87.58920782)"
11283,KIMBALL,LAWRENCE,82,1,1015.1,862.6,10/1/12,Weekday,"(41.96829636, -87.71326526)"
10367,IN FORD CITY,N-S PARKING AISLE at isl.,"54B\,67",2,805.7,859.1,10/1/12,Weekday,"(41.75532793, -87.73889061)"
2616,79TH STREET,JEFFERY,79,1,775.9,856.4,10/1/12,Weekday,"(41.75167521, -87.57587044)"
6252,ASHLAND,MILWAUKEE,9,1,498.2,845.7,10/1/12,Weekday,"(41.90373400, -87.66736500)"
1580,MICHIGAN,ROOSEVELT,"1\,3\,4\,18\,129",5,386.7,843.7,10/1/12,Weekday,"(41.86789271, -87.62396410)"
17572,COTTAGE GROVE,63RD STREET,4,1,515.1,842.9,10/1/12,Weekday,"(41.78056776, -87.60581869)"
11127,KIMBALL,LAWRENCE,82,1,896.6,840.4,10/1/12,Weekday,"(41.96809920, -87.71343490)"
580,CHICAGO,MICHIGAN,66,1,173.2,833.8,10/1/12,Weekday,"(41.89666084, -87.62453010)"
1126,MICHIGAN,CHICAGO,"3\,10\,26\,125",4,16.8,831.2,10/1/12,Weekday,"(41.89653500, -87.62413300)"
3769,LAWRENCE,BROADWAY,81,1,55.5,828.7,10/1/12,Weekday,"(41.96894567, -87.65983770)"
14007,95TH STREET,RED LINE STATION,106,1,275.9,822.6,10/1/12,Weekday,"(41.72217315, -87.62385164)"
10563,55TH STREET,LAKE PARK,"55\,171",2,71.3,802.5,10/1/12,Weekday,"(41.79511313, -87.58774891)"
4794,BROADWAY,FOSTER,"36\,92",2,210.8,781.2,10/1/12,Weekday,"(41.97655132, -87.65972066)"
7616,MICHIGAN,103RD STREET,"34\,103\,119",3,386.7,778.8,10/1/12,Weekday,"(41.70748838, -87.62007609)"
14093,PAULINA,HOWARD TERMINAL,201,1,355.2,776.8,10/1/12,Weekday,"(42.01822603, -87.67279844)"
572,CHICAGO,FRANKLIN,"11\,66",2,352.8,776,10/1/12,Weekday,"(41.89647376, -87.63591236)"
327,ROOSEVELT,CANAL,"12\,18\,N62",3,340,775.8,10/1/12,Weekday,"(41.86740019, -87.63905542)"
14001,95TH STREET,RED LINE STATION,29,1,903.1,775.1,10/1/12,Weekday,"(41.72273793, -87.62412249)"
4884,BALBO,MICHIGAN,"2\,6\,10\,J14\,26\,X28",6,90.1,764.7,10/1/12,Weekday,"(41.87322100, -87.62393800)"
4618,HALSTED,POLK,8,1,177.7,757.2,10/1/12,Weekday,"(41.87178000, -87.64687900)"
4914,WILSON,BROADWAY,"78\,145\,148",3,295.4,753.3,10/1/12,Weekday,"(41.96533088, -87.65769274)"
14560,47TH STREET,RED LINE STATION,47,1,1042,752.8,10/1/12,Weekday,"(41.80922779, -87.63152183)"
77,ADAMS,WABASH,"1\,7\,X28\,126\,129\,151",6,857.7,752.4,10/1/12,Weekday,"(41.87957500, -87.62588400)"
3413,63RD STREET,ASHLAND,63,1,889.3,751.8,10/1/12,Weekday,"(41.77941275, -87.66384995)"
71,JACKSON,STATE,"1\,7\,X28\,126\,129\,130",6,200.5,750.2,10/1/12,Weekday,"(41.87814100, -87.62789900)"
10106,69TH STREET,ASHLAND,67,1,356.9,749.9,10/1/12,Weekday,"(41.76861972, -87.66369288)"
11420,MONTROSE,NARRAGANSETT,78,1,63.4,749,10/1/12,Weekday,"(41.96031082, -87.78695946)"
1429,STATE,JACKSON,"2\,6\,10\,29\,36\,62\,144\,146",8,1615.2,742,10/1/12,Weekday,"(41.87831800, -87.62777000)"
1864,CLARK,LAKE,"22\,24",2,154.3,740.6,10/1/12,Weekday,"(41.88550100, -87.63103900)"
6114,ASHLAND,79TH STREET,9,1,682.7,738.9,10/1/12,Weekday,"(41.75044511, -87.66358075)"
453,MADISON,WELLS,"J14\,19\,20\,56\,60\,124\,157",7,1060.9,737.3,10/1/12,Weekday,"(41.88200520, -87.63408179)"
14914,BELMONT,BROADWAY,"77\,151\,156",3,171.1,733.1,10/1/12,Weekday,"(41.93999079, -87.64405969)"
2353,STATE,ROOSEVELT,"29\,62\,129",3,512.2,732.2,10/1/12,Weekday,"(41.86766345, -87.62733283)"
611,CHICAGO,LARRABEE,66,1,353.2,729.1,10/1/12,Weekday,"(41.89657780, -87.64260977)"
14482,RANDOLPH,MICHIGAN,"4\,60",2,66.3,727.1,10/1/12,Weekday,"(41.88428553, -87.62362027)"
